LP,Bezeichnung,Kapitel/Titel,
I11012,Integrierte Anwendungssysteme,,
I11013,Dienste,,
I11040,Korrektheit und Redundanz bei Informationssystemen,,
I11050,Manipulationssicherheit von Informationssystemen,,
I11060,Sicherheit in DV-Netzen,,
I11080,Sonstiges im Rahmen der Softwaretechnologie,,
I120,Anwendungen der Parallelverarbeitung,300468321,
I12010,Parallelarchitekturen,,
I12020,Parallelsoftware,,
I12030,Mathematische Grundlagen der wissenschaftlichen Computeranwendungen,,
I12040,Modellierung / Simulation,,
I12050,Visualisierung,,
I12060,GRID,,
I12080,Sonstiges im Rahmen des Höchstleistungsrechnens,,
I130,Informationsverarbeitung nach biologischen Prinzipien (Bioinformatik),300468321,
I13010,Evolutionäre Algorithmen,,
I13080,Sonstige biologische Lösungsansätze in der Informationsverarbeitung,,
I140,Intelligente Systeme,300468321,
I14010,Neuronale Netze und ihre Anwendungen,,
I14020,Neuroprothetik,,
I14030,Erkennen und Verstehen von Schrift und Bildern,,
I14040,Wissensverarbeitung/Expertensysteme,,
I14080,Sonstiges im Rahmen der intelligenten Systeme,,
I150,Sprachtechnologie und Mensch-Maschine-Kommunikation,300468321,
I15010,"Erkennen, Verstehen und Übersetzen von Sprache",,
I15020,Intelligente Methoden der Mensch-Maschine-Kommunikation,,
I15030,Virtuelle Realität / Erweiterte Realität,,
I15080,Sonstiges im Rahmen der Sprachtechnologie und Mensch-Maschine-Kommunikation,,
I190,"Abgeschlossene, übrige und Querschnittsaktivitäten Informatik",300468321,
I19010,"Analysen, Prognosen und Auswertungen Informatik",,
I19020,"Internationale Zusammenarbeit im Rahmen der Informationsverarbeitung, soweit nicht den Einzelthemen zugeordnet",,
,,,
I19070,Institutionelle Förderung im Bereich Informatik,,
I19077,Softwareentwurf (abgeschl. DV-Programm),,
I19078,Basissoftware (abgeschl. DV-Programm),,
I19079,Systementwurf (abgeschl. DV-Programm),,
I19080,Molekulare Bioinformatik (abgeschl. DV-Programm),,
I19081,DV-Systeme und -Technologien (abgeschl. DV-Progr.),,
I19082,"DV-Anwendungen, Informationssysteme (abgeschl. DV-Progr.)",,
I19083,Datenbanksoftware (abgeschl. DV-Progr.),,
I19084,DV im Bildungswesen (abgeschl. DV-Progr.),,
I19085,"Informationstechnik für Büro und Verwaltung, Datensicherungstechnik (abgeschl. DV-Progr.)",,
I19086,Regionale Rechenzentren (abgeschl. DV-Progr.),,
I19087,Überregionales Forschungsprogramm Informatik (abgeschl. DV-Progr.),,
I19089,Sonstiges DV (abgeschl. DV-Progr.),,
I19090,Projektstabskosten,,
I19091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I19092,Beratungsgremien (SK),,
I19099,Sonstiges (auch Normung) im Rahmen der Informatik,,
I2,Basistechnologien der Informationstechnik,,
I210,Kompetenzzentren für die Elektronikforschung,300468323,
I21010,Nanolithographieverfahren,,
I21029,Neuartige mikroelektronische Bauelemente,,
I21030,Neue Materialien und Prozesstechnologien,,
I21040,Neue Analyse- und Testverfahren für Nanostrukturen,,
I21050,"Kooperationsprojekte, Forschungsverbünde (AMTC, CNT, NaMLab, ASSID)",,
I21060,"Aufbau- u. Verbindungstechnik, 3 D - Integration",,
I220,Innovative Elektroniksysteme für neue Anwendungen Prinzipien,300468323,
,,609153161,
,,609168361,
,,609189161,
I22010,Bauelemente und Strukturen für den Sub-100 nm Bereich,,
I22011,Rechnergestützter Chipentwurf (EDA),,
I22012,Mikroelektronische Integration für transdisziplinäre Anwendungen,,
I22020,Erschließung höherer Frequenz- und Speicherdichten; neue Speicher- und Logikkonzepte,,
I22030,Leistungselektronik,,
I22040,"Automobilelektronik, IAE, E/ENOVA",,
I22050,"Magnetolektronik, Spintronik",,
I22060,Organische Elektronik,,
I230,Maßnahmen zur Etablierung des Leitmarktes Elektromobilität,300468323,
I23010,Batteriesystemforschung,,
I23020,"Gesamtsystem Elektrofahrzeug (mit Fokus auf Fahrzeugelektronik und Energiemanagement, Fahrzeugkonzepte und Herstellungsverfahren)",,
I23030,Maßnahmen zur Aus- und Weiterbildung,,
I23040,Querschnittaktivitäten (u.a. Gemeinsame Geschäftsstelle Elektromobilität der Bundesregierung,,
I240,Übrige und Querschnittsaktivitäten elektronische Si-Bauelemente,300468323,
I24010,"Querschnittsaktivitäten (insbesondere Analyse, Prognose, Wirkungsforschung; auch übergreifend für den gesamten Bereich der Informationstechnik)",,
I24060,"Institut für Halbleiterphysik GmbH (IHP), Frankfurt/Oder - institutionelle Förderung",,
I24090,Projektstabskosten,,
I24091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I250,Optoelektronik; Photonik,300468320,
I25010,Optoelektronik,,
I25020,Photonik,,
I261,Systemtechnik,300468320,
I26111,Endgeräte (ohne ISDN),,
I26112,ISDN-Endgeräte,,
I26113,Breitband-ISDN-Endgeräte,,
I26119,Sonstiges im Rahmen der Endgeräte der Kommunikationssysteme,,
I26121,Videotechnik,,
I26122,Videoaufzeichnungsverfahren,,
I26123,Hochauflösendes Fernsehen,,
I26131,Mobilfunk,,
,,,
I26132,Digitaler Mobilfunk,,
I26139,Sonstiges im Rahmen der Funktechnik,,
I262,Displaytechnik,300468320,
I26210,Bildtechnik,,
I26220,Flacher Bildschirm,,
I26299,Sonstiges im Rahmen der Displaytechnik,,
I270,"Datenkommunikation - abgeschlossen, siehe I510 -",300468320,
I27010,"Deutsches Forschungsnetz (DFN) - abgeschlossen, siehe I51010 -",,
I27020,Lokale Netze (LAN) - abgeschlossen -,,
I27030,"Offene Netze, Standards - abgeschlossen, siehe I51020 -",,
I27099,"Sonstiges im Rahmen der Datenkommunikation - abgeschlossen, siehe I51099 -",,
I280,"Neue Technologiefelder (z.B. Quantenstrukturen, Molekularelektronik)",300468320,
I28010,Entwicklung und Untersuchung neuartiger Materialien und Herstellungsverfahren,,
I28020,Integrationstechnik mit Verbindungshalbleitern (z.B. Quantenstrukturbauelemente),,
I28030,"Integrierte Schaltungen mit supraleitenden, magnetischen und organischen Materialien (insbesondere Molekularelektronik)",,
I28040,Internettechnologien,,
I28099,Sonstiges im Bereich neue Materialien und Bauelementstrukturen,,
I290,Übrige und Querschnittsaktivitäten Kommunikationstechnologie,300468320,
I29010,"Systemtechnik, Schaltkreistechnologien für Breitbandnetze (optische Nachrichtentechnik)",,
I29020,"Komponenten Breitbandnetze (Glasfaser, Laser, Photodioden)",,
I29050,Heinrich-Hertz-Institut für Nachrichtentechnik (HHI) - institutionelle Förderung,,
I29051,Ferdinand-Braun-Institut für Höchstfrequenztechnik (FBH) im Forschungsverbund Berlin e.V. - institutionelle Förderung,,
I29052,Paul-Drude-Institut für Festkörperelektronik (PDI) im Forschungsverbund Berlin e.V. -institutionelle Förderung,,
I29090,Projektstabskosten,,
I29091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I29099,Sonstiges im Rahmen der Kommunikationstechnologie (einschl. Querschnittsuntersuchungen),,
I3,Anwendung der Mikrosystemtechnik (einschl. Anwendung der Mikroelektronik; Mikroperipherik),,
I311,Anwendung der Mikroelektronik (ohne Mikroperipherik) - Projektförderung,300468323,
I31110,Anwendung der Mikroelektronik (ohne Mikroperipherik) - Projektförderung,,
I31190,Projektstabskosten (auch für indirekt-spezifische Förderung),,
I31191,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I31200,Anwendung der Mikroelektronik (ohne Mikroperipherik) - indirekt-spezifische Förderung,,
I321,Mikroperipherik (insbesondere Sensoren und Aktoren) - Projektförderung,300468322,
I32110,Mikroperipherik - Leistungsbauelemente,,
I32120,Mikroperipherik - Stellglieder,,
I32130,"Mikroperipherik - Anzeigen, großflächige Displays",,
I32140,Mikroperipherik - Halbleitersensoren,,
I32150,Mikroperipherik - mikrooptische Sensoren,,
I32160,Mikroperipherik - chemische Sensoren,,
I32170,Mikroperipherik - mikromechanische Sensoren,,
I32180,Mikroperipherik - Verbindungstechnologien,,
I32190,Projektstabskosten (auch für indirekt-spezifische Förderung),,
I32199,Sonstiges im Rahmen der Mikroperipherik,,
I322,Mikroperipherik (insbesondere Sensoren und Aktoren) - indirekt-spezifische Förderung,300468322,
I32200,Mikroperipherik (insbesondere Sensoren und Aktoren) - indirekt-spezifische Förderung,,
I331,Mikrosystemtechnik (ohne Technologietransfer) - Projektförderung,300468322,
I33110,Systemfähigkeit,,
I33120,Handhabbarkeit der Mikrosystemtechnik für kleine und mittlere Unternehmen,,
I33130,Systemtechnikentwicklung,,
I33140,Modellhafte Lösungen der Mikrosystemtechnik,,
I33150,Mikrotechniken für Dienstleister,,
I33155,"Entwurf, Modelle und Simulationswerkzeuge für die Dienstleistung",,
I33161,Mikrosystemtechnik - Querschnittsfragen,,
I33162,Mikrosystemtechnik - Qualifizierung,,
I33163,Mikrosystemtechnik - Qualitätssicherung,,
,,,
I33170,Industrielle Basisforschung in der Mikrosystemtechnik,,
I33181,Weiterentwicklung der Systemtechniken,,
I33182,Entwicklung von Standardbauteilen von Mikrosystemen,,
I33183,Entwicklung von Prototypen fortgeschrittener Mikrosystemlösungen,,
I33184,Entwicklung der Fertigungstechnik für Mikrosysteme,,
I33185,Wissenschaftliche Grundlagen für die Mikrosystemtechnik,,
I33190,Projektstabskosten (auch für indirekt-spezifische Förderung),,
I33199,Sonstiges in der Projektförderung der Mikrosystemtechnik,,
I332,Mikrosystemtechnik - indirekt-spezifische Förderung,300468322,
I33210,Entwicklung von Mikrosensoren,,
I33220,Entwicklung von Mikroaktoren,,
I33230,Entwicklung von miniaturisierten Sensorelementen,,
I33240,Entwicklung von miniaturisierten Aktoreelementen,,
I33250,Entwicklung von Signalverarbeitungskomponenten,,
I33260,Entwicklung von Mikrokomponenten unter Einsatz der Kombinationen von Mikrotechniken,,
I33299,Sonstiges in der indirekt-spezifischen Förderung der Mikrosystemtechnik,,
I333,Mikrosystemtechnik - Technologietransfer,300468322,
I33320,Technologietransfer (MST) - Informationsverbreitung,,
I33340,Technologietransfer (MST) - Förderung von Demonstrationszentren,,
I33380,Technologietransfer (MST) - Aus- und Bewertung,,
I33399,Technologietransfer (MST) - Sonstiges,,
I334,"Mikrosystemtechnik - Industrielle Diffusion, Technikfolgenabschätzung, Wissenschaftleraustausch",300468322,
I33410,Industrielle Diffusion der Mikrosystemtechnik,,
I33420,Technikfolgenabschätzung für Mikrosystemlösungen,,
I33430,Wissenschaftleraustausch,,
I33440,Ausbildungs- und Weiterbildungsnetzwerke,,
I4,Fertigungstechnik,,
I410,Fertigungstechnik (ohne Technologietransfer) - Projektförderung,300468324,
I41010,"Rechnerunterstütztes Entwickeln, Konstruieren und Fertigen - CAD/CAM",,
I41015,Rechnerintegrierte Fertigung (CIM),,
I41020,Flexible Fertigungssysteme,,
I41030,"Industrieroboter, Montage- und Handhabungssysteme",,
I41040,"Materialfluß, Informationsfluß, Verkettung",,
I41050,Fertigungsverfahren und -technologien,,
I41060,"Qualitätssicherung, Schadenfrüherkennung und Diagnose",,
I41070,"Analysen, vorbereitende Untersuchungen und Auswertungen Fertigungstechnik, soweit nicht den Einzelbereichen zugeordnet",,
I41075,"Internationale Zusammenarbeit Fertigungstechnik, soweit nicht den Einzelbereichen zugeordnet",,
I41081,Prozeßlenkung mit DV-Anlagen (abgeschlossen),,
I41090,Projektstabskosten (auch für indirekt-spezifische Förderung),,
I41091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I41092,Beratungsgremien (SK),,
I41099,"Sonstiges, Querschnittsaktivitäten (Fertigungstechnik)",,
I420,Fertigungstechnik - indirekt-spezifische Förderung,300468324,
I42010,"Rechnerunterstütztes Entwickeln, Konstruieren und Fertigen - CAD/CAM",,
I42020,"Industrieroboter, Handhabungssysteme einschl. intelligenter Peripherie",,
I42030,Rechnerintegrierte Fertigung (CIM),,
I430,Fertigungstechnik - Standardisierung,300468324,
I43000,Fertigungstechnik - Standardisierung,,
I450,Technologietransfer und -folgenabschätzung Fertigungstechnik,300468324,
I45010,Technologietransfer Fertigungstechnik,,
I45020,Technologietransfer Fertigungstechnik mit dem Ausland,,
I45030,"Technologiefolgenabschätzung, Wirkungsforschung, sozial-, arbeits- und wirtschaftswissenschaftliche Begleitforschung im Rahmen der Fertigungstechnik",,
I470,Qualitätssicherung - Projektförderung,300468324,
I47010,Grundlagenforschung im Rahmen der Qualitätssicherung,,
I47020,Anwendungsorientierte Forschung im Rahmen der Qualitätssicherung,,
I47030,Technologietransfer im Rahmen der Qualitätssicherung,,
I47040,Standardisierung im Rahmen der Qualitätssicherung,,
I47090,Projektstabskosten (auch für indirekt-spezifische Förderung),,
I47091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
,,,
I47092,Beratungsgremien (SK),,
I47095,Programmevaluation und Technikfolgenabschätzung im Rahmen der Qualitätssicherung,,
I47099,Sonstiges im Rahmen der Qualitätssicherung,,
I480,Forschung für die Produktion - Projekte,300468324,
,,609168361,
I48010,Strategien und Methoden zur Produktplanung,,
I48020,Fertigunstechnologien und Produktionsausrüstungen,,
I48030,Neue Formen der Zusammenarbeit von Unternehmen,,
I48040,Fach- und Führungskräfte für die Produktion,,
I48090,Projektstabskosten,,
I48099,Forschung für die Produktion - sonstige Projekte,,
I481,Forschung für die Produktion - Querschnittsaufgaben,300468324,
I48110,"Analysen, Voruntersuchungen, Programmevaluation",,
I48120,Vordringliche Aktionen (VA) zur Vorbereitung von Handlungsfeldern,,
I48130,Entwicklungsbegleitende Normung für die Produktion,,
I48140,"Wissensverbreiterung, Technologietransfer (über Verbundprojekte hinaus)",,
I48190,Projektstabskosten,,
I48191,"Projektbegleiter, Einzelgutachter",,
I48192,Beratungsgremien (SK),,
I48199,Forschung für die Produktion -sonstige Querschnittsaufgaben,,
I490,Rahmenkonzept Produktion 2000: Verbundprojekte,300468324,
I49010,Produktentwicklungsmethoden und Produktionsverfahren,,
I49020,Wirtschaften in Kreisläufen,,
I49030,Logistik für die Produktion,,
I49040,Informationstechnik für die Produktion,,
I49050,Produzieren im turbulenten Umfeld,,
I49060,Übergreifende Themenfelder zum Rahmenkonzept Produktion 2000,,
I491,Rahmenkonzept Produktion 2000: Entwicklungsbegleitende Standardisierungsforschung,300468324,
I49100,Rahmenkonzept Produktion 2000: Entwicklungsbegleitende Standardisierungsforschung,,
I492,"Rahmenkonzept Produktion 2000: Technologietransfer, Technologiegestaltung, Qualifizierung, Analysen",300468324,
I49200,"Rahmenkonzept Produktion 2000: Technologietransfer, Technologiegestaltung, Qualifizierung, Analysen",,
I493,Rahmenkonzept Produktion 2000: Querschnittsaufgaben,300468324,
I49390,Projektstabskosten,,
I49391,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I49392,Beratungsgremien (SK),,
I49395,Programmevaluation und Technikfolgenabschätzung,,
I49399,Sonstiges zum Rahmenkonzept Produktion 2000,,
I5,Multimedia,,
I510,Multimedia - Datenkommunikation,300468320,
I51010,Deutsches Forschungsnetz (DFN),,
I51020,"Offene Netze, Standardisierung",,
I51025,Sicherheit in DV-Netzen,,
I51030,Internet und Anwendungen,,
I51040,"Telematik, Ortung, Navigation, Assistenzsysteme",,
I51050,Domotik und Immotik (Haus- und Gebäudeautomation),,
I51060,Digitale Übertragungstechnik,,
I51070,Elektronische Sicherheits- und Schlüsselsysteme,,
I51075,Biometrische Systeme,,
I51080,Chipkartensysteme,,
I51099,Sonstiges im Rahmen der Multimedia-Datenkommunikation,,
I520,"Multimedia - Telekooperation, Telepräsenz, Mehrwertdienste, multimediale Techniken und Dienste",090268351,
,,090268373,
,,090268664,
,,090268675,
I52010,"Digitale Prozesskette, Informationstechnische Mehrwertdienste",,
I52020,Telekooperation innerhalb und zwischen Organisationen,,
I52030,"E-Government, Virtuelle Stadt",,
I52040,Virtuelle Netzwerke,,
,,,
I52050,Sonstige strategische Projekte,,
I52060,Sicherheit und Bedienungsfreundlichkeit durch Technik,,
I52070,Internet der Dinge,,
I52080,Internet der Dienste,,
I52081,Internetbasierte Wissensinfrastruktur,090268664,
I52082,IKT basiertes Wissensmanagement,,
I52083,E-Energy,,
I52084,Qualifikation durch Multimedia,,
I530,Multimedia - Wissenschaftlich-technische Information,300468320,
I53010,Multimediales und elektronisches Publizieren,,
I53020,Elektronische digitale Bibliothek,,
I53030,Nutzung elektronischer und multimedialer wissenschaftlicher Information,,
I53050,Institutionelle Förderung im Förderschwerpunkt Multimedia,,
I540,"Multimedia - Infrastruktur, Existenzgründungen und Modellversuche",090268351,
,,090268373,
,,090268664,
,,090268675,
I54010,Telearbeit und Mittelstand (abgeschlossen),,
I54020,Multimedia-Existenzgründungen,,
I54030,Multimedia-Kompetenzzentren (abgeschlossen),,
I54095,Sonstiges im Rahmen Multimedia (abgeschlossen),,
I550,Multimedia - Querschnittsaufgaben,090268351,
,,090268373,
,,090268664,
,,090268675,
,,300468320,
I55090,Projektstabskosten,,
I55091,Projektbegleiter und externe Einzelgutachter,,
I560,Computer- und netzgestütztes Lernen,300268543,
I56010,"Neue Medien u. Informationstechniken; Telelearning, Teleteaching",,
I56020,"Leitprojekte ""Virtuelle Fachhochschule"", ""Vernetztes Studium Chemie"",""Lebenslanges Lernen - Weiterbildung als Grundbedürfnis""",,
I56030,Verbesserung des Fernstudiums,,
I56090,Projektstabskosten,,
I570,Virtuelles Studium und virtuelle Hochschluprojekte,300268543,
,,300368581,
I57010,Innovative Lehr- und Lernformen an Hochschulen,,
I57020,Notebook University-Konzepte,,
I57030,Virtuelle Hochschule,,
I57040,Institute for Information Technology,,
I57050,Ausseruniversitäre Forschung auf dem Gebiet der IuK-Technik,,
I57090,Projektstabskosten,,
I59011,Faktenbanken - Chemie,,
I59012,"Faktenbanken - Energie, Physik, Mathematik",,
I59013,Faktenbanken - Raum und Bau,,
I59019,Faktenbanken - sonstige,,
I59021,Literaturhinweisbanken - Chemie,,
I59022,"Literaturhinweisbanken - Energie, Physik, Mathematik",,
I59023,Literaturhinweisbanken - Raum und Bau,,
I59024,Literaturhinweisbanken - Sozialwissenschaften,,
I59029,Literaturhinweisbanken - sonstige,,
I59030,Volltextbanken - Patente,,
I59110,"Elektronisches Publizieren - abgeschlossen, siehe I53010 und I53020 -",,
I59120,Informationsnetz (Fachinformations-Rechenzentren),,
I59180,Sonstiges durch Einsatz neuer Technologien in der Fachinformation,,
I59210,Neue Fachinformationsdienste,,
I59220,"Informationsvermittlung - abgeschlossen, siehe I53030 -",,
I59230,Literaturversorgung,,
I59240,Sonstige Dienstleistungen im Rahmen der Fachinformation,,
I59310,Grundlagenforschung und angewandte Forschung im Rahmen der Fachinformation,,
I59320,Internationale Zusammenarbeit im Rahmen der Fachinformation,,
I59330,Sonstige fachspezifische Projekte im Rahmen der Fachinformation,,
I59360,"Leistungssteigerung in der Fachinformation, Informationsbewußtsein",,
I59365,"Normung, Standardisierung (Fachinformation)",,
,,,
I59370,"Ausbildung, Weiterbildung (Fachinformation)",,
I59375,"Fachgesellschaften, Verbände (Fachinformation)",,
I59390,"Projektstabskosten - abgeschlossen, siehe I55090 -",,
I59391,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
I594,Institutionelle Förderung der Fachinformation (und Vorphasen) - abgeschlossen -,300368560z,
,,300389460z,
I59410,"Institutionelle Förderung im Rahmen der Fachinformation - abgeschlossen, siehe I53050 -",,
I59420,Vorphasen institutioneller Förderung im Rahmen der Fachinformation,,
K,Biotechnologie,,
K0,Biotechnologie,,
K010,Technologische Innovation für die Biotechnologie-Industrie,300468330,
,,300468597,
K01010,Nanobiotechnologie,,
K01030,TSE-Diagnostik,,
K01040,RNA-Technologien,,
K011,Molekulare Lebenswissenschaften,300468330,
,,300468597,
K01110,Proteomforschung,,
K01120,Bioinformatik,,
K01130,Systeme des Lebens-Systembiologie; Systembiologie der Leberzelle / HepatoSys,,
K01140,QuantPro,,
K01141,Neue Methoden für die Systembiologie (Systec),,
K01150,Forschungseinheiten der Systembiologie (FORSYS) und Partnerprojekte (FORSYS-Partner),,
K012,Regenerationstechnologien,300468330,
K01210,Tissue Engineering,,
K01220,Translationscluster Regenerative Medizin,,
K01230,Methoden und Verfahren der Regenerativen Medizin,,
K01240,Bilaterale Zusammenarbeit - USA,,
K013,Pharma-Initiative Deutschland,300468330,
K01310,BioPharma-Wettbewerb,,
K015,Industrielle Bioverfahren,300468330,
K01510,Nachhaltige BioProduktion,,
K01520,Umweltbiotechnologie,,
K01530,BioIndustrie 2021,,
K01540,GXP-Produktion,,
K01550,Aufreinigungstechnologien (DSP),,
K01560,Biotechnologie 2020+,,
K01570,Innovationsinitiative zur industriellen Biotechnologie,,
K016,Bionik,300468330,
K01610,Bionik,,
K020,Kommerzialisierungsmaßnahmen und Nachwuchsgruppen,300468330,
K02010,BioChance,,
K02011,BioChancePLUS,,
K02012,KMU Innovativ : Biotechnologie - BioChance,,
K02020,BioProfile,,
K02030,BioFuture,,
K02031,BioFuture International,,
K02040,BioRegio,,
K02050,GO-Bio,,
K02060,Glykobiotechnologie,,
K025,Biomethoden,300468330,
K02510,Ersatzmethoden zum Tierversuch,,
K02520,Biologische Sicherheitsforschung,,
K030,Neurobiologie,300468330,
,,300468531,
K03010,Neurobiologische Forschung,,
K035,Biotechnologie für Ernährung,300468330,
,,300468597,
K03510,Leitprojekt Ernährung (läuft aus),,
K03520,Prävention,,
K03530,Ernährungsforschung,,
K040,Nationales Humangenomforschungsnetz (NGFN),300468330,
,,,
,,300468531,
,,300468597,
K04010,Medizinische Genomforschung: Systematisch-Methodische Plattformen (SMP),,
K04020,Medizinische Genomforschung: Krankheitsorientierte Genomnetze (KG),,
K04030,Medizinische Genomforschung: Explorative Projekte (EP),,
K04040,Medizinischen Systembiologie - MedSys,,
K04041,Systembiologie in der Krebsforschung (CancerSys),,
K04050,Systembiologie für die Gesundheit im Alter (Gerontosys),,
K04060,Integrierte Verbünde der medizinschen Genomforschung (NGFN-PLUS),,
K04070,Innovationsallianzen der medizinischen Genomforschung (NGFN-Transfer),,
K04080,Medizinsiche Genomforschung: Infektionsgenomik,,
K041,Assoziierte Netze zum NGFN,300468330,
,,300468531,
,,300468597,
K04120,Pathogenomik,,
K042,Genomforschung und Systembiologie an Pflanzen und Mikroorganismen,300468330,
,,300468531,
,,300468597,
K04210,Pflanzen-Genomforschung,,
K04220,Genomforschung an Mikroorganismen,,
K04230,Systembiologie an Mikroorganismen (SYSMO),,
K04240,BioEnergie 2021,,
K04250,Systembiologie für die Bioenergieforschung,,
K04260,Deutsches Netzwerk zur Phänotypisierung von Pflanzen - DNPP,,
K04270,Welternährung,,
K043,Ernährungs-und Argraforschung,300468531,
K04310,Netzwerke Molekulare Ernährungsforschung,,
K04320,Funktionelle Ernährungsforschung,,
K04330,Nachwuchswettbewerbe Molekulare Grundlagen der humanen Ernähurng,,
K04340,Biomedizinische Ernährungsforschung,,
K04350,Kompetenznetze in der Agrar- und Ernährungsforschung,,
K044,Tiergenomforschung,300468531,
K04410,Funktionelle Genomanalyse im tierischen Organismus (FUGATO),,
K060,Biomasse -ohne erneuerbare Energie- (1992 abgeschlossen),300468330,
K06011,Biomasseproduktion (1992 abgeschlossen),,
K06012,Verfahren zur Konversion von Biomasse (1992 abgeschlossen),,
K06013,Nutzung von Biomasse -ohne erneuerbare Energie- (1992 abgeschlossen),,
K070,Genzentren und andere Schwerpunktprojekte,300468330,
K07010,Genzentren,,
K07020,Andere Schwerpunktprojekte der Biotechnologie,,
K080,Förderung der biotechnologischen Industrie (indirekt-spezifische Förderung),300468330,
K08020,Förderung der biotechnologischen Industrie - indirekt-spezifische Förderung (Phase I),,
K08025,Förderung der biotechnologischen Industrie - indirekt-spezifische Förderung (Phase II),,
K090,Querschnittsaktivitäten; institutionelle und internationale Förderung in der Biotechnologie,300368771,
,,300468330,
,,300468531,
,,300468597,
K09010,"Vorhaben zu ethischen, rechtlichen und sozialen Fragen (Bioethik); öffentlicher Diskurs",,
K09015,Forschungsstipendien,,
K09020,"Stammsammlungen, Datenbanken für Protein- und Gensequenzen",,
K09030,"Studien, Begleituntersuchungen, Vorbereitung und Bewertung von Fördermaßnahmen (Biotechnologie)",,
K09040,Kooperationsvorhaben (Biotechnologie),,
K09050,"Institut für Molekulare Biotechnologie e.V. (IMB), Jena - institutionelle Förderung",,
K09051,"Institut für Pflanzengenetik und Kulturpflanzenforschung (IPK), Gatersleben -institutionelle Förderung",,
K09052,"Institut für Pflanzenbiochemie (IPB), Halle - institutionelle Förderung",,
K09053,"Institut für Neurobiologie (IfN), Magdeburg - institutionelle Förderung",,
K09054,"Deutsche Sammlung von Mikroorganismen und Zellkulturen GmbH (DSMZ), Braunschweig - institutionelle Förderung",,
K09060,Europäisches Laboratorium für Molekularbiologie (EMBL),300368771,
,,,
K09061,Europäische Konferenz für Molekularbiologie (EMBC),300368771,
K09090,Projektstabskosten (Biotechnologie),,
K09091,"Projektbegleiter und externe Einzelgutachter (PB,RE)",,
K09092,Beratungsgremien (SK) (Biotechnologie),,
K09093,"Tagungen, Statusseminare (Biotechnologie)",,
K09094,Nationale Kontaktstellen,,
K09095,Sonstige institutionelle Förderung,,
K09099,Sonstiges im Rahmen der Biotechnologie,,
K091,Sonstiges im Rahmen Human-Genomforschung,300468330,
,,300468531,
,,300468597,
K09190,Projektstabskosten (Human-Genomforschung),,
K09192,Beratungsgremien (SK) (Human-Genomforschung),,
K09199,Sonstiges im Rahmen Human-Genomforschung,,
L,Materialforschung; physikalische und chemische Technologien,,
L1,Materialforschung; Werkstoffe für Zukunftstechnologien,,
L110,Nanotechnologie - Branchenspezifische Maßnahmen,300468326,
L11010,Leitinnovation NanoMobil,,
L11020,Leitinnovation NanoLux,,
L11030,Leitinnovation NanoForLife,,
L11040,Leitinnovation NanoTex,,
L11050,Leitinnovation NanoChem,,
L11060,Leitinnovation NanoTecture,,
L11080,Weitere Leitinnovationen,,
L111,Nanotechnologie - Prozesstechnologie,300468326,
L11110,Prozesstechnik und Nanoanalytik,,
L11120,Verfahrenstechnologie,,
L11130,Ultradünne Schichten,,
L112,Nanotechnologie - Interdisziplinäre Technologien,300468326,
L11210,Nanobiotechnologie,,
L11220,Nanomedizin,,
L113,Nanotechnologie - Werkstoffkonzepte,300468326,
L11310,Nanostrukturmaterialien,,
L11320,Nanokomposite,,
L11330,Carbon NanoTubes,,
L120,Werkstoffforschung und -technologie - Ressourceneffiziente Werkstoffe,300468326,
L12010,Ressourceneffiziente Werkstoffe,,
L121,Werkstoffforschung und -technologie - Leichtbau,300468326,
L12110,Leichtbau,,
L122,Werkstoffforschung und -technologie - Elektromagnetische Werkstoffe,300468326,
L12210,Elektromagnetische Werkstoffe,,
L12220,Li-Ionen-Batterien,,
L123,Werkstoffforschung und -technologie - Intelligente Werkstoffe,300468326,
L12310,Funktionsintegrierter Leichtbau,,
L124,Werkstoffforschung und -technologie - Bionische Werkstoffe,300468326,
L12410,Bionische Werkstoffe,,
L125,Werkstoffforschung und -technologie - Schichten und Grenzflächen,300468326,
L12510,Schichten und Grenzflächen,,
L126,Werkstoffforschung und -technologie - Virtuelle Werkstoffentwicklung,300468326,
L12610,Virtuelle Werkstoffentwicklung,,
L127,Werkstoffforschung und -technologie - Werkstoffe im Grenzbereich,300468326,
L12710,Werkstoffe im Grenzbereich,,
L128,Werkstoffforschung und -technologie - Organische Elektronik,300468326,
L12810,OLED,,
L12820,Organische Photovoltaik,,
L12830,Organische Logik/Speichermedien,,
L130,Chemische Technologien - Stoffe und Reaktionen,300468326,
L13010,Neue katalytische Prozessrouten,,
L13020,Mikroreaktionstechnik,,
L131,Chemische Technologien - Werkstoffe für Lebenswissenschaften,300468326,
L13110,Werkstoffe für Lebenswissenschaften,,
L140,Begleitende Maßnahmen - Strukturmaßnahmen,300468326,
,,609189161,
L14010,KMU incl. NanoChance,,
,,,
L14020,Nachwuchsförderung,,
